tweet_id,favorite_count,retweet_count,source,retweeted_status,expanded_urls
700518061187723268,2495,753,,Original tweet,https://t.co/JQGMP7kzjD
700505138482569216,2185,545,,Original tweet,https://t.co/5fMdH8GFaq
700462010979500032,3933,1689,,Original tweet,https://t.co/ALO02IAKCn
700167517596164096,2517,689,,Original tweet,https://t.co/A0h4lnhU4s
700151421916807169,2146,641,,Original tweet,https://t.co/o9aJVPB25n
700143752053182464,7188,2567,,Original tweet,https://t.co/Fbdr5orUrJ
700062718104104960,2523,650,,Original tweet,https://t.co/UtFI7eUCjE
700029284593901568,1984,550,,Original tweet,https://t.co/8Nuny4lLE3
700002074055016451,3156,1265,,Original tweet,https://t.co/x0ZDlNqfb1
699801817392291840,2897,899,,Original tweet,https://t.co/qI8yvqKG02
699788877217865730,2136,486,,Original tweet,https://t.co/5bjrIRqByp
699779630832685056,2602,1170,,Original tweet,https://t.co/B28ebc5LzQ
699775878809702401,1875,574,,Original tweet,https://t.co/TEHu55ZQKD
699691744225525762,9804,4349,,Original tweet,https://t.co/ZJnCxlIf62
699446877801091073,5702,2493,,Original tweet,https://t.co/9fojElzIxx
699434518667751424,2081,488,,Original tweet,https://t.co/hTE2PEwGvi
699423671849451520,1297,305,,Original tweet,https://t.co/b8ncwl6TlE
699413908797464576,1989,594,,Original tweet,https://t.co/6r4GFZY5WS
699370870310113280,1811,414,,Original tweet,https://t.co/iNFIHvcVur
699323444782047232,3013,819,,Original tweet,https://t.co/Rizm1LWh4z
699088579889332224,2157,592,,Original tweet,https://t.co/VfLoDZecJ7
699079609774645248,2339,612,,Original tweet,https://t.co/A2j2StfNgL
699072405256409088,2825,1128,,Original tweet,https://t.co/7WrAWKdBac
699060279947165696,3572,1703,,Original tweet,https://t.co/n6wND1v7il
699036661657767936,2497,1141,,Original tweet,https://t.co/7u6VnZ1UFe
698989035503689728,3187,920,,Original tweet,https://t.co/3BrRIWjG35
698953797952008193,2558,860,,Original tweet,https://t.co/oW9XMYG3F4
698907974262222848,2413,588,,Original tweet,https://t.co/GXq43zFfBu
698710712454139905,2361,644,,Original tweet,https://t.co/rKjK88D05Z
698703483621523456,1382,352,,Original tweet,https://t.co/hEH19t1eFp
698635131305795584,1243,326,,Original tweet,https://t.co/rb8nzVNh7F
698549713696649216,2220,589,,Original tweet,https://t.co/EPdQquc1dG
698355670425473025,1758,421,,Original tweet,https://t.co/MrdPZz1CGk
698342080612007937,2159,914,,Original tweet,https://t.co/VmFfWMjNkp
698262614669991936,4568,1886,,Original tweet,https://t.co/S712MJXulD
